Date,Covid_Cases,Crime_Cases,Correlation
20200307,0,84,84
20200308,1,51,51
20200309,1,99,99
20200310,5,88,88
20200311,5,93,93
20200312,10,78,78
20200313,10,78,78
20200314,10,108,108
20200315,16,81,81
20200316,17,81,81
20200317,22,63,63
20200318,31,71,71
20200319,39,45,45
20200320,71,61,61
20200321,77,44,44
20200322,98,47,47
20200323,116,56,56
20200324,137,66,66
20200325,183,61,61
20200326,231,65,65
20200327,267,51,51
20200328,304,39,39
20200329,342,57,57
20200330,401,69,69
20200331,495,64,64
20200401,586,47,47
20200402,653,41,41
20200403,757,42,42
20200404,902,54,54
20200405,998,44,44
20200406,1097,64,64
20200407,1211,60,60
20200408,1440,49,49
20200409,1523,49,49
20200410,1660,50,50
20200411,1778,52,52
20200412,1875,49,49
20200413,1955,47,47
20200414,2058,66,66
20200415,2197,50,50
20200416,2350,61,61
20200417,2476,47,47
20200418,2666,26,26
20200419,2793,60,60
20200420,2927,50,50
20200421,3098,58,58
20200422,3206,81,81
20200423,3361,71,71
20200424,3528,68,68
20200425,3699,56,56
20200426,3841,36,36
20200427,3892,62,62
20200428,3994,78,78
20200429,4106,63,63
20200430,4323,59,59
20200501,4658,54,54
20200502,4797,39,39
20200503,5016,39,39
20200504,5170,68,68
20200505,5322,71,71
20200506,5461,57,57
20200507,5654,45,45
20200508,5899,62,62
20200509,6102,42,42
20200510,6272,64,64
20200511,6389,58,58
20200512,6485,41,41
20200513,6584,55,55
20200514,6736,53,53
20200515,6871,53,53
20200516,7042,55,55
20200517,7123,52,52
20200518,7270,67,67
20200519,7434,68,68
20200520,7551,86,86
20200521,7788,67,67
20200522,7893,63,63
20200523,7966,60,60
20200524,7966,47,47
20200525,8225,51,51
20200526,8334,69,69
20200527,8406,78,78
20200528,8492,67,67
20200529,8538,72,72
20200530,8717,42,42
20200531,8801,100,100
20200601,8857,179,179
20200602,8886,120,120
20200603,9016,79,79
20200604,9120,90,90
20200605,9199,65,65
20200606,9269,50,50
20200607,9332,69,69
20200608,9389,85,85
20200609,9474,81,81
20200610,9537,90,90
20200611,9589,83,83
20200612,9654,60,60
20200613,9709,52,52
20200614,9767,80,80
20200615,9799,78,78
20200616,9818,85,85
20200617,9847,57,57
20200618,9903,55,55
20200619,9952,45,45
20200620,9984,57,57
20200621,10020,66,66
20200622,10058,71,71
20200623,10094,81,81
20200624,10128,73,73
20200625,10159,77,77
20200626,10185,47,47
20200627,10216,57,57
20200628,10248,75,75
20200629,10292,73,73
20200630,10327,84,84
20200701,10365,56,56
20200702,10390,55,55
20200703,10435,56,56
20200704,10447,62,62
20200705,10482,53,53
20200706,10515,75,75
20200707,10569,69,69
20200708,10642,86,86
20200709,10679,58,58
20200710,10743,62,62
20200711,10801,60,60
20200712,10847,63,63
20200713,10906,60,60
20200714,10946,72,72
20200715,11026,76,76
20200716,11076,72,72
20200717,11115,61,61
20200718,11194,64,64
20200719,11261,76,76
20200720,11339,70,70
20200721,11427,80,80
20200722,11529,59,59
20200723,11571,63,63
20200724,11649,73,73
20200725,11717,64,64
20200726,11780,66,66
20200727,11858,81,81
20200728,11945,106,106
20200729,11999,94,94
20200730,12057,70,70
20200731,12126,54,54
20200801,12205,60,60
20200802,12274,79,79
20200803,12313,83,83
20200804,12398,80,80
20200805,12443,85,85
20200806,12518,82,82
20200807,12589,80,80
20200808,12653,81,81
20200809,12753,94,94
20200810,12807,94,94
20200811,12896,69,69
20200812,12959,79,79
20200813,13024,71,71
20200814,13118,50,50
20200815,13159,75,75
20200816,13220,66,66
20200817,13273,74,74
20200818,13325,78,78
20200819,13354,92,92
20200820,13409,77,77
20200821,13469,73,73
20200822,13534,68,68
20200823,13590,85,85
20200824,13639,92,92
20200825,13684,69,69
20200826,13722,86,86
20200827,13794,101,101
20200828,13851,73,73
20200829,13925,67,67
20200830,13959,91,91
20200831,13992,85,85
20200901,14049,86,86
20200902,14077,73,73
20200903,14135,62,62
20200904,14186,61,61
20200905,14238,101,101
20200906,14279,82,82
20200907,14315,78,78
20200908,14362,103,103
20200909,14387,72,72
20200910,14412,74,74
20200911,14493,82,82
20200912,14552,89,89
20200913,14592,95,95
20200914,14622,72,72
20200915,14687,92,92
20200916,14743,120,120
20200917,14790,81,81
20200918,14852,79,79
20200919,14902,70,70
20200920,14955,67,67
20200921,14978,100,100
20200922,15021,119,119
20200923,15050,89,89
20200924,15106,85,85
20200925,15163,90,90
20200926,15215,75,75
20200927,15250,82,82
20200928,15264,102,102
20200929,15300,97,97
20200930,15326,94,94
20201001,15358,79,79
20201002,15423,78,78
20201003,15473,80,80
20201004,15519,78,78
20201005,15547,88,88
20201006,15652,79,79
20201007,15697,91,91
20201008,15765,68,68
20201009,15843,75,75
20201010,15918,93,93
20201011,15984,96,96
20201012,16022,106,106
20201013,16068,78,78
20201014,16132,95,95
20201015,16166,84,84
20201016,16255,52,52
20201017,16334,86,86
20201018,16370,83,83
20201019,16395,94,94
20201020,16445,104,104
20201021,16498,83,83
20201022,16537,88,88
20201023,16609,88,88
20201024,16706,71,71
20201025,16767,67,67
20201026,16812,82,82
20201027,16906,79,79
20201028,16973,87,87
20201029,17074,78,78
20201030,17144,68,68
20201031,17266,89,89
20201101,17369,65,65
20201102,17438,69,69
20201103,17524,70,70
20201104,17601,91,91
20201105,17682,93,93
20201106,17792,79,79
20201107,17891,66,66
20201108,18001,89,89
20201109,18087,100,100
20201110,18173,105,105
20201111,18379,70,70
20201112,18507,68,68
20201113,18666,84,84
20201114,18814,82,82
20201115,18977,71,71
20201116,19064,97,97
20201117,19309,85,85
20201118,19465,79,79
20201119,19678,77,77
20201120,19808,92,92
20201121,19961,85,85
20201122,20151,81,81
20201123,20290,69,69
20201124,20409,70,70
20201125,20516,90,90
20201126,20736,52,52
20201127,20937,99,99
20201128,21308,74,74
20201129,21448,77,77
20201130,21552,93,93
20201201,21685,92,92
20201202,21842,101,101
20201203,22164,74,74
20201204,22480,71,71
20201205,22872,71,71
20201206,23136,79,79
20201207,23319,70,70
