Date,Low,High,Average,Weather Description
20200101,35.096000000000004,49.028000000000006,42.062000000000005,Cold
20200102,28.490000000000002,53.78,41.135000000000005,Cold
20200103,45.554,58.244,51.899,Cold
20200104,43.052,59.504,51.278,Cold
20200105,35.438,45.824,40.631,Cold
20200106,32.234,53.456,42.845,Cold
20200107,32.558,46.292,39.425,Cold
20200108,30.56,45.302,37.931,Cold
20200109,24.656,38.894,31.775,Frigid
20200110,39.938,52.997,46.4675,Cold
20200111,58.127,70.71799999999999,64.4225,Warm
20200112,47.84,66.03800000000001,56.93900000000001,Cold
20200113,44.456,52.879999999999995,48.668,Cold
20200114,43.421,48.938,46.179500000000004,Cold
20200115,46.013,56.165000000000006,51.089,Cold
20200116,34.142,50.837,42.48950000000001,Cold
20200117,29.552,36.149,32.8505,Frigid
20200118,28.472,44.375,36.423500000000004,Cold
20200119,26.509999999999998,39.425,32.9675,Frigid
20200120,24.314,33.341,28.8275,Frigid
20200121,23.701999999999998,35.096000000000004,29.399,Frigid
20200122,25.799,39.515,32.657,Frigid
20200123,28.922,42.791,35.8565,Cold
20200124,40.217,51.71,45.963499999999996,Cold
20200125,40.721000000000004,50.18000000000001,45.450500000000005,Cold
20200126,36.185,46.733000000000004,41.459,Cold
20200127,34.655,47.579,41.117000000000004,Cold
20200128,35.339,45.563,40.451,Cold
20200129,33.719,44.483000000000004,39.101,Cold
20200130,30.587,40.730000000000004,35.658500000000004,Cold
20200131,34.493,45.491,39.992000000000004,Cold
20200201,35.393,49.253,42.323,Cold
20200202,40.55,52.736000000000004,46.643,Cold
20200203,48.947,65.28200000000001,57.11450000000001,Cool
20200204,54.248000000000005,66.065,60.1565,Cool
20200205,36.257,48.236000000000004,42.2465,Cold
20200206,39.938,51.323,45.6305,Cold
20200207,33.575,50.92700000000001,42.251000000000005,Cold
20200208,34.061,44.33,39.195499999999996,Cold
20200209,35.672,49.1,42.385999999999996,Cold
20200210,42.602000000000004,50.936,46.769000000000005,Cold
20200211,45.491,54.032,49.7615,Cold
20200212,42.224000000000004,48.47,45.347,Cold
20200213,39.317,54.311,46.814,Cold
20200214,27.536,38.822,33.179,Frigid
20200215,25.367,35.978,30.6725,Frigid
20200216,35.366,51.962,43.664,Cold
20200217,39.731,53.69,46.710499999999996,Cold
20200218,42.224000000000004,58.739000000000004,50.481500000000004,Cold
20200219,36.59,52.313,44.4515,Cold
20200220,30.929,39.794,35.3615,Cold
20200221,27.851,37.985,32.918,Frigid
20200222,31.505,53.726,42.6155,Cold
20200223,35.285,57.704,46.4945,Cold
20200224,39.956,58.649,49.3025,Cold
20200125,40.721000000000004,50.18000000000001,45.450500000000005,Cold
20200226,44.762,52.150999999999996,48.4565,Cold
20200227,32.333,42.007999999999996,37.1705,Cold
20200228,31.028,46.067,38.5475,Cold
20200229,29.561,37.004,33.2825,Frigid
20200301,32.981,50.594,41.7875,Cold
20200302,43.349000000000004,64.88600000000001,54.11750000000001,Cold
20200303,47.426,63.635,55.5305,Cold
20200304,47.021,63.464,55.2425,Cold
20200305,42.323,54.923,48.623000000000005,Cold
